map_link,name,rating,speciality,contact,website_href
https://www.google.com/maps/place/Siddhi+Vinayaka+Medical+Centre/data=!4m7!3m6!1s0x390c7b52170e51c7:0x5ef4912cb1f2168f!8m2!3d28.9592084!4d77.7484111!16s%2Fg%2F1hc1dh7g2!19sChIJx1EOF1J7DDkRjxbysSyR9F4?authuser=0&hl=en&rclk=1,Siddhi Vinayaka Medical Centre,4.5,General hospital,092580 63686,https://www.siddhivinayaka.org/
https://www.google.com/maps/place/Meerut+Critical+Care+Hospital/data=!4m7!3m6!1s0x390c635f8a56844d:0xfbc44fd0b8c31c60!8m2!3d28.9458276!4d77.7240541!16s%2Fg%2F11g6yy91ff!19sChIJTYRWil9jDDkRYBzDuNBPxPs?authuser=0&hl=en&rclk=1,Meerut Critical Care Hospital,3,Hospital,074550 00208,
https://www.google.com/maps/place/MEDWIN+HOSPITAL/data=!4m7!3m6!1s0x390c65b3c15fae8b:0x70d8563f7fd546!8m2!3d28.9716928!4d77.7170763!16s%2Fg%2F11f6ks8g2g!19sChIJi65fwbNlDDkRRtV_P1bYcAA?authuser=0&hl=en&rclk=1,MEDWIN HOSPITAL,3.2,Hospital,,
https://www.google.com/maps/place/Kotpal+Hospital+-+Best+Gynecology+Hospital+in+Meerut/data=!4m7!3m6!1s0x390c6fa33ed9d475:0x4cdbe6f2382dd6c1!8m2!3d29.0632516!4d77.7094876!16s%2Fg%2F11b868dlpg!19sChIJddTZPqNvDDkRwdYtOPLm20w?authuser=0&hl=en&rclk=1,Kotpal Hospital - Best Gynecology Hospital in Meerut,4.8,Hospital,099171 02222,https://www.kotpalhospital.in/
https://www.google.com/maps/place/Jagdamba+Hospital/data=!4m7!3m6!1s0x390c64a013eece85:0x330c78e4ff228c7e!8m2!3d28.9470392!4d77.7234864!16s%2Fg%2F124yk0g3j!19sChIJhc7uE6BkDDkRfowi_-R4DDM?authuser=0&hl=en&rclk=1,Jagdamba Hospital,4.3,Hospital,,
https://www.google.com/maps/place/Anandit+Hospital+in+Shastri+Nagar+Meerut/data=!4m7!3m6!1s0x390c64a4610100c7:0xdbf606493dbd111c!8m2!3d28.954965!4d77.729237!16s%2Fg%2F124t1rs28!19sChIJxwABYaRkDDkRHBG9PUkG9ts?authuser=0&hl=en&rclk=1,Anandit Hospital in Shastri Nagar Meerut,3.7,Maternity Centre,0121 276 3411,
https://www.google.com/maps/place/I.P.+Hospital/data=!4m7!3m6!1s0x390c64f5c3c40c71:0x8cc34be1707a8b9c!8m2!3d28.971557!4d77.7010466!16s%2Fg%2F11fyx5gsbj!19sChIJcQzEw_VkDDkRnIt6cOFLw4w?authuser=0&hl=en&rclk=1,I.P. Hospital,3.8,Hospital,082185 78282,http://www.d2dnews.com/business-detail.aspx?i=d233cf5c-3767-430f-886c-f0f46e413d86
https://www.google.com/maps/place/Alpha+Hospital/data=!4m7!3m6!1s0x390c65c9a0122079:0xf52a40f9e3d17ef5!8m2!3d28.968785!4d77.7354253!16s%2Fg%2F11t3_4z3zr!19sChIJeSASoMllDDkR9X7R4_lAKvU?authuser=0&hl=en&rclk=1,Alpha Hospital,4.2,Hospital,093689 38012,
https://www.google.com/maps/place/M+S+GLOBAL+HOSPITAL/data=!4m7!3m6!1s0x390c7b06faf05cb5:0x1429f847dd15cba!8m2!3d28.9526917!4d77.7577202!16s%2Fg%2F11rsdkg2bs!19sChIJtVzw-gZ7DDkRulzRfYSfQgE?authuser=0&hl=en&rclk=1,M S GLOBAL HOSPITAL,4.4,Hospital,072520 99199,http://www.d2dnews.com/business-detail.aspx?i=74539dd6-55ad-44fb-a21b-5c50d2fb8977
https://www.google.com/maps/place/Nagar+Hospital/data=!4m7!3m6!1s0x390c7b80b72be41b:0x45e4d4483b16ddb3!8m2!3d28.9598583!4d77.7472614!16s%2Fg%2F11h55ndtw6!19sChIJG-Qrt4B7DDkRs90WO0jU5EU?authuser=0&hl=en&rclk=1,Nagar Hospital,3.6,Hospital,097591 24483,
https://www.google.com/maps/place/SM+Hospital/data=!4m7!3m6!1s0x390c64b30026b6f5:0x3e3afd728763eac7!8m2!3d28.9621095!4d77.7438957!16s%2Fg%2F11b7719vm2!19sChIJ9bYmALNkDDkRx-pjh3L9Oj4?authuser=0&hl=en&rclk=1,SM Hospital,3.9,Hospital,086505 54433,http://www.smhospitalivf.com/
https://www.google.com/maps/place/Surya+Multispecialist+Hospital+%26+Trauma+Center/data=!4m7!3m6!1s0x390c7ac89c83dfdd:0xbe977f9bc5f85dea!8m2!3d29.0140444!4d77.7563113!16s%2Fg%2F1262mp1lx!19sChIJ3d-DnMh6DDkR6l34xZt_l74?authuser=0&hl=en&rclk=1,Surya Multispecialist Hospital & Trauma Center,4.3,Hospital,0121 262 3300,
